DailySleepKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;contributors;day;timestamp
user1_dailysleep_20250601_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250601_1;82;{"deep_sleep":80,"rem_sleep":75,"total_sleep":85,"efficiency":90,"restfulness":80,"latency":70,"timing":75};2025-06-01;2025-06-01T04:00:00-04:00
user1_dailysleep_20250602_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250602_1;88;{"deep_sleep":85,"rem_sleep":80,"total_sleep":90,"efficiency":92,"restfulness":85,"latency":75,"timing":80};2025-06-02;2025-06-02T04:00:00-04:00
user1_dailysleep_20250603_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250603_1;70;{"deep_sleep":65,"rem_sleep":60,"total_sleep":75,"efficiency":80,"restfulness":70,"latency":60,"timing":65};2025-06-03;2025-06-03T04:00:00-04:00
user1_dailysleep_20250604_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250604_1;92;{"deep_sleep":90,"rem_sleep":85,"total_sleep":95,"efficiency":96,"restfulness":90,"latency":80,"timing":85};2025-06-04;2025-06-04T04:00:00-04:00
user1_dailysleep_20250605_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250605_1;65;{"deep_sleep":55,"rem_sleep":50,"total_sleep":65,"efficiency":70,"restfulness":60,"latency":50,"timing":55};2025-06-05;2025-06-05T04:00:00-04:00
user1_dailysleep_20250606_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250606_1;86;{"deep_sleep":82,"rem_sleep":78,"total_sleep":88,"efficiency":90,"restfulness":82,"latency":72,"timing":78};2025-06-06;2025-06-06T04:00:00-04:00
user1_dailysleep_20250607_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250607_1;78;{"deep_sleep":72,"rem_sleep":68,"total_sleep":80,"efficiency":84,"restfulness":74,"latency":64,"timing":70};2025-06-07;2025-06-07T04:00:00-04:00
user1_dailysleep_20250608_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250608_1;82;{"deep_sleep":80,"rem_sleep":75,"total_sleep":85,"efficiency":90,"restfulness":80,"latency":70,"timing":75};2025-06-08;2025-06-08T04:00:00-04:00
user1_dailysleep_20250609_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250609_1;88;{"deep_sleep":85,"rem_sleep":80,"total_sleep":90,"efficiency":92,"restfulness":85,"latency":75,"timing":80};2025-06-09;2025-06-09T04:00:00-04:00
user1_dailysleep_20250610_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250610_1;70;{"deep_sleep":65,"rem_sleep":60,"total_sleep":75,"efficiency":80,"restfulness":70,"latency":60,"timing":65};2025-06-10;2025-06-10T04:00:00-04:00
user1_dailysleep_20250611_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250611_1;92;{"deep_sleep":90,"rem_sleep":85,"total_sleep":95,"efficiency":96,"restfulness":90,"latency":80,"timing":85};2025-06-11;2025-06-11T04:00:00-04:00
user1_dailysleep_20250612_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250612_1;65;{"deep_sleep":55,"rem_sleep":50,"total_sleep":65,"efficiency":70,"restfulness":60,"latency":50,"timing":55};2025-06-12;2025-06-12T04:00:00-04:00
user1_dailysleep_20250613_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250613_1;86;{"deep_sleep":82,"rem_sleep":78,"total_sleep":88,"efficiency":90,"restfulness":82,"latency":72,"timing":78};2025-06-13;2025-06-13T04:00:00-04:00
user1_dailysleep_20250614_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250614_1;78;{"deep_sleep":72,"rem_sleep":68,"total_sleep":80,"efficiency":84,"restfulness":74,"latency":64,"timing":70};2025-06-14;2025-06-14T04:00:00-04:00
user1_dailysleep_20250615_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250615_1;82;{"deep_sleep":80,"rem_sleep":75,"total_sleep":85,"efficiency":90,"restfulness":80,"latency":70,"timing":75};2025-06-15;2025-06-15T04:00:00-04:00
user1_dailysleep_20250616_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250616_1;88;{"deep_sleep":85,"rem_sleep":80,"total_sleep":90,"efficiency":92,"restfulness":85,"latency":75,"timing":80};2025-06-16;2025-06-16T04:00:00-04:00
user1_dailysleep_20250617_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250617_1;70;{"deep_sleep":65,"rem_sleep":60,"total_sleep":75,"efficiency":80,"restfulness":70,"latency":60,"timing":65};2025-06-17;2025-06-17T04:00:00-04:00
user1_dailysleep_20250618_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250618_1;92;{"deep_sleep":90,"rem_sleep":85,"total_sleep":95,"efficiency":96,"restfulness":90,"latency":80,"timing":85};2025-06-18;2025-06-18T04:00:00-04:00
user1_dailysleep_20250619_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250619_1;65;{"deep_sleep":55,"rem_sleep":50,"total_sleep":65,"efficiency":70,"restfulness":60,"latency":50,"timing":55};2025-06-19;2025-06-19T04:00:00-04:00
user1_dailysleep_20250620_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250620_1;86;{"deep_sleep":82,"rem_sleep":78,"total_sleep":88,"efficiency":90,"restfulness":82,"latency":72,"timing":78};2025-06-20;2025-06-20T04:00:00-04:00
user1_dailysleep_20250621_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250621_1;78;{"deep_sleep":72,"rem_sleep":68,"total_sleep":80,"efficiency":84,"restfulness":74,"latency":64,"timing":70};2025-06-21;2025-06-21T04:00:00-04:00
user1_dailysleep_20250622_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250622_1;82;{"deep_sleep":80,"rem_sleep":75,"total_sleep":85,"efficiency":90,"restfulness":80,"latency":70,"timing":75};2025-06-22;2025-06-22T04:00:00-04:00
user1_dailysleep_20250623_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250623_1;88;{"deep_sleep":85,"rem_sleep":80,"total_sleep":90,"efficiency":92,"restfulness":85,"latency":75,"timing":80};2025-06-23;2025-06-23T04:00:00-04:00
user1_dailysleep_20250624_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250624_1;70;{"deep_sleep":65,"rem_sleep":60,"total_sleep":75,"efficiency":80,"restfulness":70,"latency":60,"timing":65};2025-06-24;2025-06-24T04:00:00-04:00
user1_dailysleep_20250625_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250625_1;92;{"deep_sleep":90,"rem_sleep":85,"total_sleep":95,"efficiency":96,"restfulness":90,"latency":80,"timing":85};2025-06-25;2025-06-25T04:00:00-04:00
user1_dailysleep_20250626_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250626_1;65;{"deep_sleep":55,"rem_sleep":50,"total_sleep":65,"efficiency":70,"restfulness":60,"latency":50,"timing":55};2025-06-26;2025-06-26T04:00:00-04:00
user1_dailysleep_20250627_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250627_1;86;{"deep_sleep":82,"rem_sleep":78,"total_sleep":88,"efficiency":90,"restfulness":82,"latency":72,"timing":78};2025-06-27;2025-06-27T04:00:00-04:00
user1_dailysleep_20250628_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250628_1;78;{"deep_sleep":72,"rem_sleep":68,"total_sleep":80,"efficiency":84,"restfulness":74,"latency":64,"timing":70};2025-06-28;2025-06-28T04:00:00-04:00
user1_dailysleep_20250629_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250629_1;82;{"deep_sleep":80,"rem_sleep":75,"total_sleep":85,"efficiency":90,"restfulness":80,"latency":70,"timing":75};2025-06-29;2025-06-29T04:00:00-04:00
user1_dailysleep_20250630_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250630_1;88;{"deep_sleep":85,"rem_sleep":80,"total_sleep":90,"efficiency":92,"restfulness":85,"latency":75,"timing":80};2025-06-30;2025-06-30T04:00:00-04:00
