DailyStressKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;stress_high;recovery_high;day_summary;day;timestamp
user1_dailystress_20250601_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250601_1;7200;18000;normal;2025-06-01;2025-06-01T04:00:00-04:00
user1_dailystress_20250602_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250602_1;5400;21000;restorative;2025-06-02;2025-06-02T04:00:00-04:00
user1_dailystress_20250603_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250603_1;10800;12600;stressful;2025-06-03;2025-06-03T04:00:00-04:00
user1_dailystress_20250604_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250604_1;3600;23400;restorative;2025-06-04;2025-06-04T04:00:00-04:00
user1_dailystress_20250605_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250605_1;14400;9000;stressful;2025-06-05;2025-06-05T04:00:00-04:00
user1_dailystress_20250606_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250606_1;6000;19800;balanced;2025-06-06;2025-06-06T04:00:00-04:00
user1_dailystress_20250607_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250607_1;7800;17400;normal;2025-06-07;2025-06-07T04:00:00-04:00
user1_dailystress_20250608_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250608_1;7200;18000;normal;2025-06-08;2025-06-08T04:00:00-04:00
user1_dailystress_20250609_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250609_1;5400;21000;restorative;2025-06-09;2025-06-09T04:00:00-04:00
user1_dailystress_20250610_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250610_1;10800;12600;stressful;2025-06-10;2025-06-10T04:00:00-04:00
user1_dailystress_20250611_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250611_1;3600;23400;restorative;2025-06-11;2025-06-11T04:00:00-04:00
user1_dailystress_20250612_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250612_1;14400;9000;stressful;2025-06-12;2025-06-12T04:00:00-04:00
user1_dailystress_20250613_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250613_1;6000;19800;balanced;2025-06-13;2025-06-13T04:00:00-04:00
user1_dailystress_20250614_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250614_1;7800;17400;normal;2025-06-14;2025-06-14T04:00:00-04:00
user1_dailystress_20250615_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250615_1;7200;18000;normal;2025-06-15;2025-06-15T04:00:00-04:00
user1_dailystress_20250616_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250616_1;5400;21000;restorative;2025-06-16;2025-06-16T04:00:00-04:00
user1_dailystress_20250617_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250617_1;10800;12600;stressful;2025-06-17;2025-06-17T04:00:00-04:00
user1_dailystress_20250618_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250618_1;3600;23400;restorative;2025-06-18;2025-06-18T04:00:00-04:00
user1_dailystress_20250619_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250619_1;14400;9000;stressful;2025-06-19;2025-06-19T04:00:00-04:00
user1_dailystress_20250620_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250620_1;6000;19800;balanced;2025-06-20;2025-06-20T04:00:00-04:00
user1_dailystress_20250621_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250621_1;7800;17400;normal;2025-06-21;2025-06-21T04:00:00-04:00
user1_dailystress_20250622_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250622_1;7200;18000;normal;2025-06-22;2025-06-22T04:00:00-04:00
user1_dailystress_20250623_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250623_1;5400;21000;restorative;2025-06-23;2025-06-23T04:00:00-04:00
user1_dailystress_20250624_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250624_1;10800;12600;stressful;2025-06-24;2025-06-24T04:00:00-04:00
user1_dailystress_20250625_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250625_1;3600;23400;restorative;2025-06-25;2025-06-25T04:00:00-04:00
user1_dailystress_20250626_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250626_1;14400;9000;stressful;2025-06-26;2025-06-26T04:00:00-04:00
user1_dailystress_20250627_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250627_1;6000;19800;balanced;2025-06-27;2025-06-27T04:00:00-04:00
user1_dailystress_20250628_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250628_1;7800;17400;normal;2025-06-28;2025-06-28T04:00:00-04:00
user1_dailystress_20250629_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250629_1;7200;18000;normal;2025-06-29;2025-06-29T04:00:00-04:00
user1_dailystress_20250630_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailystress_20250630_1;5400;21000;restorative;2025-06-30;2025-06-30T04:00:00-04:00
