SleepModelKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;type;deep_sleep_duration;rem_sleep_duration;light_sleep_duration;awake_time;time_in_bed;bedtime_start;bedtime_end;latency;sleep_phase_5_min;average_heart_rate;average_hrv;average_breath;lowest_heart_rate;restless_periods;efficiency;day;timestamp
user1_sleepmodel_20250601_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250601_1;long_sleep;7200;5400;18000;3600;34200;2025-06-01T23:00:00-04:00;2025-06-02T07:00:00-04:00;600;1111122222333444555566667777888899990000;68;42;14.2;56;2;95;2025-06-01;2025-06-01T04:00:00-04:00
user1_sleepmodel_20250602_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250602_1;long_sleep;8100;6300;17100;2700;34200;2025-06-02T22:30:00-04:00;2025-06-03T06:30:00-04:00;450;1111222222333444555566667777888899990000;66;45;13.8;54;1;96;2025-06-02;2025-06-02T04:00:00-04:00
user1_sleepmodel_20250603_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250603_1;long_sleep;6300;4500;16200;5400;32400;2025-06-03T23:30:00-04:00;2025-06-04T07:00:00-04:00;900;1112222333444555566667777888899990000;72;38;15.1;60;4;88;2025-06-03;2025-06-03T04:00:00-04:00
user1_sleepmodel_20250604_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250604_1;long_sleep;9000;7200;16200;1800;34200;2025-06-04T22:00:00-04:00;2025-06-05T06:30:00-04:00;300;1111122222333444555566667777888899990000;64;48;13.5;52;1;97;2025-06-04;2025-06-04T04:00:00-04:00
user1_sleepmodel_20250605_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250605_1;long_sleep;5400;3600;14400;7200;30600;2025-06-05T00:00:00-04:00;2025-06-05T07:30:00-04:00;1200;1112222333444555566667777888899990000;76;35;15.8;64;6;82;2025-06-05;2025-06-05T04:00:00-04:00
user1_sleepmodel_20250606_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250606_1;long_sleep;7800;6000;17400;3000;34200;2025-06-06T22:45:00-04:00;2025-06-07T06:45:00-04:00;540;1111222222333444555566667777888899990000;67;44;14.0;55;2;94;2025-06-06;2025-06-06T04:00:00-04:00
user1_sleepmodel_20250607_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250607_1;long_sleep;6900;5100;16800;4200;33000;2025-06-07T23:15:00-04:00;2025-06-08T07:15:00-04:00;720;1112222333444555566667777888899990000;70;40;14.6;58;3;91;2025-06-07;2025-06-07T04:00:00-04:00
user1_sleepmodel_20250608_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250608_1;long_sleep;7200;5400;18000;3600;34200;2025-06-08T23:00:00-04:00;2025-06-09T07:00:00-04:00;600;1111122222333444555566667777888899990000;68;42;14.2;56;2;95;2025-06-08;2025-06-08T04:00:00-04:00
user1_sleepmodel_20250609_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250609_1;long_sleep;8100;6300;17100;2700;34200;2025-06-09T22:30:00-04:00;2025-06-10T06:30:00-04:00;450;1111222222333444555566667777888899990000;66;45;13.8;54;1;96;2025-06-09;2025-06-09T04:00:00-04:00
user1_sleepmodel_20250610_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250610_1;long_sleep;6300;4500;16200;5400;32400;2025-06-10T23:30:00-04:00;2025-06-11T07:00:00-04:00;900;1112222333444555566667777888899990000;72;38;15.1;60;4;88;2025-06-10;2025-06-10T04:00:00-04:00
