SleepTimeKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;optimal_bedtime;day;timestamp
user1_sleeptime_20250601_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250601_1;{"day_tz":-14400,"start_offset":28800,"end_offset":32400};2025-06-01;2025-06-01T04:00:00-04:00
user1_sleeptime_20250602_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250602_1;{"day_tz":-14400,"start_offset":28200,"end_offset":31800};2025-06-02;2025-06-02T04:00:00-04:00
user1_sleeptime_20250603_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250603_1;{"day_tz":-14400,"start_offset":30000,"end_offset":33600};2025-06-03;2025-06-03T04:00:00-04:00
user1_sleeptime_20250604_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250604_1;{"day_tz":-14400,"start_offset":27600,"end_offset":31200};2025-06-04;2025-06-04T04:00:00-04:00
user1_sleeptime_20250605_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250605_1;{"day_tz":-14400,"start_offset":30600,"end_offset":34200};2025-06-05;2025-06-05T04:00:00-04:00
user1_sleeptime_20250606_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250606_1;{"day_tz":-14400,"start_offset":28800,"end_offset":32400};2025-06-06;2025-06-06T04:00:00-04:00
user1_sleeptime_20250607_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250607_1;{"day_tz":-14400,"start_offset":29400,"end_offset":33000};2025-06-07;2025-06-07T04:00:00-04:00
user1_sleeptime_20250608_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250608_1;{"day_tz":-14400,"start_offset":28800,"end_offset":32400};2025-06-08;2025-06-08T04:00:00-04:00
user1_sleeptime_20250609_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250609_1;{"day_tz":-14400,"start_offset":28200,"end_offset":31800};2025-06-09;2025-06-09T04:00:00-04:00
user1_sleeptime_20250610_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250610_1;{"day_tz":-14400,"start_offset":30000,"end_offset":33600};2025-06-10;2025-06-10T04:00:00-04:00
user1_sleeptime_20250611_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleeptime_20250611_1;{"day_tz":-14400,"start_offset":27600,"end_offset":31200};2025-06-11;2025-06-11T04:00:00-04:00
